Time and Date,Electricity:Facility ,Heating:Electricity ,Cooling:Electricity ,InteriorLights:Electricity ,ExteriorLights:Electricity ,InteriorEquipment:Electricity ,Fans:Electricity ,Pumps:Electricity ,Gas:Facility ,Heating:Gas ,WaterSystems:Gas 
 12/21  15:00:00,59510278.28,0,263749.086,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671279.821,0,1671279.821
 12/21  16:00:00,59846232.71,0,599703.5162,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671265.147,0,1671265.147
 12/21  17:00:00,63387229.34,0,821500.1463,32261801.53,3319200,17820173.74,9164553.918,1.45E-05,1671225.664,0,1671225.664
 12/21  18:00:00,46945473.51,0,0,17923223.07,9957600,9900096.523,9164553.918,1.45E-05,2412874.64,741786.1161,1671088.524
 12/21  19:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,2358752.844,687684.8371,1671068.007
 12/21  20:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,72000,0,72000
 12/21  21:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,1671103.293,0,1671103.293
 12/21  22:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,1671061.274,0,1671061.274
 12/21  23:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/21  24:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671042.021,0,1671042.021
 12/22  01:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1671020.369,0,1671020.369
 12/22  02:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/22  03:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1670998.813,0,1670998.813
 12/22  04:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1670977.251,0,1670977.251
 12/22  05:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/22  06:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,1671112.013,0,1671112.013
 12/22  07:00:00,30778504.76,0,151629.0084,3584644.615,9957600,7920077.219,9164553.918,1.45E-05,2532415.813,861411.2586,1671004.555
 12/22  08:00:00,31157764.98,0,0,10753933.84,3319200,7920077.219,9164553.918,1.45E-05,2405646.769,734535.7109,1671111.058
 12/22  09:00:00,59703241,0,456711.8091,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671190.97,0,1671190.97
 12/22  10:00:00,59581372.99,0,334843.7953,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671268.346,0,1671268.346
 12/22  11:00:00,60018451.47,0,771922.2804,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671353.459,0,1671353.459
 12/22  12:00:00,60323430.27,0,1076901.083,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671342.632,0,1671342.632
 12/22  13:00:00,58150647.1,0,884137.2149,32261801.53,0,15840154.44,9164553.918,1.45E-05,1671440.726,0,1671440.726
 12/22  14:00:00,60828567.91,0,1582038.714,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671230.346,0,1671230.346
 12/22  15:00:00,61981260.87,0,2734731.675,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671199.152,0,1671199.152
 12/22  16:00:00,62436514.29,0,3189985.102,32261801.53,0,17820173.74,9164553.918,1.45E-05,1671155.681,0,1671155.681
 12/22  17:00:00,64981487.16,0,2415757.966,32261801.53,3319200,17820173.74,9164553.918,1.45E-05,1671186.883,0,1671186.883
 12/22  18:00:00,47252924.02,0,307450.5022,17923223.07,9957600,9900096.523,9164553.918,1.45E-05,1948531.367,277201.6214,1671329.745
 12/22  19:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,2109589.061,438466.6039,1671122.457
 12/22  20:00:00,37796164.98,0,0,10753933.84,9957600,7920077.219,9164553.918,1.45E-05,1671047.988,0,1671047.988
